date,category,label,amount,currency,kind
2026-08-01,Income,Salary,9800.00,PLN,income
2026-08-05,Income,Freelance,1450.00,PLN,income
2026-08-02,Housing,Rent,3200.00,PLN,expense
2026-08-02,Housing,Electricity,210.40,PLN,expense
2026-08-03,Housing,Internet,79.00,PLN,expense
2026-08-04,Groceries,Biedronka,412.85,PLN,expense
2026-08-11,Groceries,Biedronka,388.20,PLN,expense
2026-08-18,Groceries,Local market,164.00,PLN,expense
2026-08-25,Groceries,Lidl,297.55,PLN,expense
2026-08-06,Transport,Monthly pass,110.00,PLN,expense
2026-08-14,Transport,Fuel,320.00,PLN,expense
2026-08-22,Transport,Parking,48.00,PLN,expense
2026-08-07,Eating out,Lunches,486.30,PLN,expense
2026-08-16,Eating out,Coffee,142.60,PLN,expense
2026-08-09,Health,Pharmacy,178.90,PLN,expense
2026-08-20,Health,Dentist,450.00,PLN,expense
2026-08-08,Subscriptions,Spotify,23.99,PLN,expense
2026-08-08,Subscriptions,Netflix,43.00,PLN,expense
2026-08-10,Subscriptions,Gym,159.00,PLN,expense
2026-08-13,Leisure,Cinema,68.00,PLN,expense
2026-08-24,Leisure,Books,127.40,PLN,expense
2026-08-28,Leisure,Concert tickets,240.00,PLN,expense
2026-08-15,Family,Kids' school trip,300.00,PLN,expense
2026-08-27,Family,Gifts,185.00,PLN,expense
